,GWP100,LT,RE,lip,sol,,
11751,3.5861409],1.5464412],-0.6387485],0.1069416],-4.9070973],,
6132,3.5862782],1.6745131],-0.5437014],0.12199874],-4.67995],,
11661,3.586287],1.5452992],-0.6354152],0.24480976],-4.9163346],,
5001,3.586342],1.6944932],-0.6175225],0.16995652],-4.760832],,
1113,3.5863874],1.4518117],-0.5581587],0.08094133],-4.3248835],,
3072,3.5865471],1.8323612],-0.57690734],0.08951987],-4.152159],,
11391,3.5865738],1.5494823],-0.62671816],0.17904563],-5.0278535],,
369,3.5866933],1.4052403],-0.4870934],0.09549429],-3.8481793],,
11535,3.5867863],1.5882592],-0.618624],0.11712737],-5.01022],,
4830,3.5868638],1.5634648],-0.61366737],0.2437215],-4.911525],,
1827,3.5869644],1.530361],-0.5379275],0.11827971],-4.501367],,
6099,3.58718],1.5849694],-0.6033969],0.24402799],-4.923636],,
9261,3.587283],1.6699013],-0.54445326],0.10933627],-4.7310696],,
5175,3.5873911],1.6104624],-0.5693357],0.11619212],-4.629288],,
3948,3.587461],1.488969],-0.61491656],0.09368874],-4.6775584],,
7413,3.5877163],1.5596973],-0.57238984],0.14716674],-5.0521846],,
4167,3.5878384],1.5147549],-0.56864786],0.0752575],-4.584301],,
1938,3.5878522],1.8549026],-0.5506916],0.08920081],-4.0828614],,
4950,3.5878646],1.6872343],-0.5767257],0.12426712],-4.644562],,
531,3.5879934],1.4921572],-0.53513396],0.10847957],-4.023418],,
4722,3.5879996],1.5841119],-0.61503184],0.2437541],-4.9162717],,
11058,3.5880272],1.5989323],-0.63650763],0.20599009],-5.026287],,
1260,3.588056],1.4724677],-0.55473936],0.10415913],-4.1973653],,
5931,3.5880616],1.6698359],-0.565698],0.11869909],-4.631511],,
2961,3.588259],1.6054333],-0.54600227],0.11768003],-4.4543366],,
10068,3.588348],1.5583042],-0.6021925],0.17956348],-5.085961],,
10023,3.5884109],1.6132215],-0.62422687],0.15597995],-4.9493165],,
522,3.588412],1.474862],-0.5604748],0.11042364],-4.085058],,
9063,3.588448],1.6219448],-0.5634334],0.11646648],-4.729293],,
7659,3.5885777],1.5402323],-0.46088523],0.11965574],-4.9063444],,
9915,3.5886157],1.5428561],-0.5608445],0.10577865],-4.990532],,
9348,3.588619],1.6236812],-0.61622393],0.17062767],-4.9899383],,
6345,3.588708],1.6852947],-0.5295334],0.10894395],-4.7291226],,
13035,3.588891],1.7613646],-0.60350335],0.11429776],-4.52619],,
5622,3.5889986],1.5699655],-0.5989374],0.16611435],-4.8018284],,
6408,3.5893788],1.6239806],-0.56336224],0.12439807],-4.676016],,
156,3.5894618],1.752036],-0.5364284],0.0733964],-3.3091145],,
11265,3.5898116],1.6174234],-0.63681257],0.10483427],-4.925181],,
6792,3.5898266],1.4562513],-0.66084445],0.21101762],-4.988765],,
10452,3.5898418],1.6099356],-0.5504259],0.12208648],-4.662438],,
9312,3.5899746],1.6344568],-0.61956584],0.24441375],-4.915768],,
4341,3.5901072],1.6784681],-0.59519225],0.10814871],-4.245621],,
132,3.5901425],1.2423161],-0.6122856],0.08260138],-3.5017495],,
3054,3.5902274],1.5534806],-0.5560006],0.11635603],-4.4592886],,
9213,3.5902996],1.597678],-0.6208142],0.17070885],-4.9790826],,
3690,3.5903058],1.5432485],-0.5605464],0.11757095],-4.5130677],,
8385,3.5903194],1.5369409],-0.59308875],0.14567234],-5.0465064],,
534,3.5903494],1.7048975],-0.5466428],0.08213754],-3.7916336],,
10833,3.5904887],1.5889876],-0.5719986],0.16437967],-4.9723825],,
10284,3.5906394],1.5867432],-0.61828375],0.24491109],-4.9162154],,
6423,3.5907555],1.607917],-0.60507286],0.24396427],-4.9345937],,
1419,3.59083],1.4187437],-0.5849649],0.10433038],-4.369743],,
8871,3.5909767],1.6518786],-0.62610835],0.21081139],-4.952762],,
6459,3.590977],1.6311399],-0.60601246],0.17009766],-4.8239956],,
4569,3.5910652],1.6869756],-0.6269323],0.1701063],-4.753573],,
11511,3.5912259],1.6079787],-0.58392155],0.09515519],-4.7876215],,
8988,3.591233],1.5451072],-0.612743],0.2445413],-4.910375],,
5631,3.591389],1.5846257],-0.6089237],0.20620461],-4.8347],,
3066,3.5914242],1.5430816],-0.6291863],0.18703265],-4.662641],,
11343,3.5914407],1.6174674],-0.5639863],0.12183328],-4.6650558],,
10242,3.5916486],1.6094196],-0.5903857],0.12525631],-4.816363],,
5283,3.5917299],1.6187767],-0.5740738],0.11244078],-4.626604],,
5970,3.591949],1.6540215],-0.5558175],0.12216385],-4.7239294],,
5871,3.592101],1.8116704],-0.5760727],0.06313498],-4.5903535],,
5748,3.5921578],1.5599881],-0.6026877],0.24433543],-4.9232597],,
11025,3.5923052],1.5701755],-0.5939672],0.12379207],-4.763011],,
9375,3.5923398],1.6463066],-0.62024474],0.17056985],-4.975945],,
11715,3.5924459],1.5035768],-0.6339114],0.24554105],-4.943288],,
1614,3.5924587],1.8092445],-0.5504739],0.08898588],-4.12781],,
5541,3.5925155],1.566827],-0.59686303],0.16583492],-4.846925],,
10014,3.59254],1.5700558],-0.6159938],0.2454889],-4.975374],,
3441,3.5925982],1.7115462],-0.55334467],0.05817683],-4.3282776],,
13002,3.5926056],1.5618082],-0.5819137],0.14558996],-5.029612],,
3285,3.5928621],1.5122046],-0.5036421],0.11175992],-4.604177],,
5910,3.5929048],1.6121861],-0.61181515],0.24398448],-4.9167905],,
10806,3.5929673],1.5639466],-0.5674615],0.16443779],-4.9865494],,
3210,3.592974],1.4770736],-0.6116861],0.19525142],-4.675957],,
12693,3.593073],1.561417],-0.5651943],0.12341632],-4.6947827],,
3183,3.5931175],1.4806067],-0.6091361],0.15044226],-4.7064376],,
4782,3.5931606],1.6626217],-0.5491703],0.12120022],-4.661382],,
1725,3.5931654],1.4641355],-0.6056211],0.21086319],-4.615319],,
10194,3.593197],1.5645438],-0.58565694],0.14682736],-4.9716268],,
10245,3.593205],1.78449],-0.58060896],0.06388558],-4.5957723],,
3741,3.5932364],1.5276383],-0.6359893],0.12281562],-4.614034],,
423,3.5933506],1.4438618],-0.5708822],0.09372343],-3.728945],,
10344,3.5933757],1.6234418],-0.5566095],0.1229042],-4.7370987],,
1878,3.5934567],1.5705265],-0.6134907],0.187068],-4.4961514],,
3855,3.59352],1.7286798],-0.58999157],0.10162963],-4.20061],,
9078,3.5936506],1.638959],-0.63009644],0.17051114],-4.890495],,
12255,3.5936735],1.5223321],-0.61752963],0.1812265],-5.0856023],,
4983,3.593756],1.6990474],-0.62045324],0.21010305],-4.806481],,
9204,3.5937583],1.5725306],-0.618395],0.24456163],-4.9921803],,
11544,3.5937724],1.6157247],-0.6260704],0.1572863],-5.031547],,
12531,3.5938268],1.5749635],-0.57278264],0.12294199],-4.735914],,
2049,3.593881],1.5300022],-0.59966594],0.21355017],-4.6295714],,
5106,3.5940628],1.6893555],-0.58202994],0.12186815],-4.65858],,
5694,3.5940835],1.5495707],-0.6036387],0.23992343],-4.933639],,
972,3.5941565],1.6169206],-0.5461163],0.12689407],-3.84696],,
8838,3.59431],1.6410677],-0.5837159],0.12483563],-4.694636],,
10719,3.5944045],1.6460656],-0.5392846],0.10986455],-4.7851973],,
4179,3.5944295],1.7174907],-0.6000123],0.10659172],-4.2116694],,
9618,3.594588],1.5846258],-0.6136209],0.10571463],-4.9871745],,
4419,3.594642],1.7005404],-0.56852555],0.12310041],-4.6389527],,
4641,3.5947127],1.5495279],-0.61598265],0.24376024],-4.9057055],,
6927,3.5948975],1.4681187],-0.63144875],0.14595295],-5.048244],,
11181,3.5952284],1.6098619],-0.5662222],0.12184472],-4.6614556],,
9483,3.5952837],1.5886782],-0.6509668],0.17113914],-4.769354],,
4236,3.5953567],1.4627675],-0.611329],0.15065952],-4.767199],,
11823,3.5953784],1.5083259],-0.63325584],0.24563183],-4.92939],,
678,3.595598],1.4808686],-0.5373111],0.10704286],-4.096617],,
9753,3.595925],1.5776054],-0.6040975],0.10597558],-4.9954953],,
1302,3.5961902],1.437279],-0.6155862],0.08216913],-4.3033867],,
9711,3.596339],1.6081992],-0.5732516],0.11723538],-4.8307185],,
5802,3.596628],1.5660961],-0.60196006],0.24404784],-4.9291854],,
4620,3.596637],1.6550122],-0.5511324],0.12121536],-4.6590276],,
11409,3.5970051],1.5770465],-0.6423825],0.1452718],-4.9846673],,
5868,3.5971553],1.6259204],-0.5860792],0.12448289],-4.719128],,
6090,3.5972164],1.6620954],-0.6081958],0.21029086],-4.790231],,
4335,3.5973356],1.4962016],-0.58164036],0.12312753],-4.721523],,
1869,3.5974243],1.537496],-0.61510813],0.1531095],-4.479868],,
1707,3.5975025],1.5049566],-0.6172946],0.15584065],-4.4681983],,
6126,3.597568],1.5914091],-0.6004242],0.24399431],-4.9225483],,
10980,3.597708],1.5936762],-0.58693254],0.12332423],-4.6780477],,
6312,3.5977495],1.8654765],-0.5614898],0.09426452],-4.415416],,
9642,3.5979145],1.6360061],-0.5718755],0.12277962],-4.660483],,
12024,3.5980303],1.5051675],-0.5350208],0.06261577],-4.967976],,
5244,3.598176],1.5650597],-0.6114904],0.16614272],-4.792434],,
3645,3.5981984],1.6116872],-0.5691321],0.1106372],-4.2705646],,
1188,3.5982516],1.5469632],-0.5345189],0.13359763],-4.0884566],,
8793,3.598258],1.6831101],-0.5728528],0.12366773],-4.6367354],,
12660,3.5982997],1.5058526],-0.62429357],0.17999168],-5.024671],,
201,3.5983264],1.5805911],-0.54087746],0.04842545],-3.6547287],,
702,3.5984492],1.5890197],-0.5262624],0.13270755],-3.9793363],,
9762,3.5984967],1.5926607],-0.6141279],0.14606483],-5.0108542],,
2535,3.5985014],1.4493263],-0.55471563],0.15398623],-4.782092],,
11202,3.5985038],1.525399],-0.6262897],0.17901017],-4.990974],,
7404,3.598513],1.5299217],-0.56867707],0.10695769],-5.0196633],,
9156,3.5985527],1.6668912],-0.554337],0.12183775],-4.660702],,
10506,3.5986426],1.6114165],-0.54865265],0.12266065],-4.7000847],,
5160,3.598754],1.6915479],-0.56371784],0.12241782],-4.6840367],,
9564,3.5988615],1.5783317],-0.624309],0.10554178],-4.905394],,
6081,3.5989034],1.6381166],-0.61584306],0.16998495],-4.773365],,
13074,3.5989747],1.5121205],-0.57186294],0.1055872],-5.0082607],,
10140,3.5990791],1.626469],-0.62231064],0.21162172],-4.952702],,
9357,3.5993135],1.6486387],-0.62318456],0.21071638],-5.0148067],,
9324,3.5993383],1.6448928],-0.57914865],0.12479754],-4.752785],,
1017,3.5993552],1.5006748],-0.54164135],0.10933389],-4.190967],,
153,3.5993648],1.3202509],-0.4914613],0.08174844],-3.3900733],,
5388,3.5993717],1.6111687],-0.6092615],0.20592494],-4.842274],,
3693,3.5995376],1.7183428],-0.59607446],0.10162939],-4.193672],,
9096,3.5996206],1.5854363],-0.6193788],0.24459405],-5.00958],,
1716,3.5996556],1.542797],-0.6191095],0.18691583],-4.4904284],,
11769,3.5998752],1.5372293],-0.6228056],0.1811132],-5.0269504],,
1026,3.5999138],1.5730481],-0.54090613],0.13309993],-4.0084615],,
12963,3.599955],1.5543343],-0.56945324],0.12241568],-4.6793375],,
12642,3.6000903],1.5576152],-0.6420846],0.10756506],-4.9137216],,
1554,3.600207],1.5498532],-0.6175016],0.18620808],-4.4796],,
1887,3.6002383],1.4709831],-0.60018575],0.21081378],-4.6279683],,
12651,3.6002991],1.5884392],-0.6400243],0.21202065],-4.8992405],,
10686,3.600393],1.8392669],-0.58370614],0.0952446],-4.431848],,
5208,3.6004076],1.5540808],-0.6080934],0.2400101],-4.9175467],,
9015,3.6004202],1.554608],-0.6199608],0.24460019],-4.957461],,
11283,3.6005652],1.5679787],-0.6250915],0.17900403],-5.048526],,
11724,3.6006963],1.5518289],-0.6579169],0.17148109],-4.883228],,
9978,3.6007779],1.6385156],-0.6281853],0.21158464],-4.869102],,
4326,3.600827],1.4700824],-0.5684544],0.09262277],-4.7027087],,
1752,3.6008594],1.4708432],-0.60718656],0.21418251],-4.619329],,
11577,3.6011908],1.8257293],-0.5973244],0.10774221],-4.499021],,
1563,3.601287],1.5369505],-0.6131696],0.21324702],-4.6042604],,
2154,3.60135],1.7367016],-0.54572535],0.08916326],-4.2008195],,
12219,3.6014488],1.5711856],-0.63982],0.21165408],-4.959428],,
6513,3.6014583],1.6064738],-0.60197556],0.17020322],-4.8164954],,
1164,3.6015227],1.4324052],-0.49628633],0.10767104],-4.146274],,
4215,3.601535],1.4854513],-0.56582344],0.11675318],-4.396211],,
105,3.6015465],1.2933463],-0.5942336],0.13829942],-3.3936398],,
12507,3.602089],1.5524539],-0.6285423],0.10949029],-4.9966407],,
11067,3.602139],1.5861679],-0.6279075],0.23971881],-5.0081277],,
8376,3.6022944],1.5053114],-0.5833801],0.10551365],-5.097165],,
1338,3.602367],1.4140517],-0.58717686],0.10348],-4.379446],,
1008,3.6024628],1.4819063],-0.5641606],0.11118688],-4.249143],,
2106,3.6025977],1.6706322],-0.5282128],0.13411064],-4.2835436],,
1980,3.6026309],1.5737871],-0.55957216],0.1188695],-4.43092],,
5937,3.6027238],1.621345],-0.6128472],0.24399532],-4.919103],,
3438,3.6027563],1.552493],-0.55938303],0.11979164],-4.579946],,
4506,3.6028376],1.6857291],-0.61839104],0.24383755],-4.909905],,
12498,3.6028445],1.5712756],-0.624534],0.18338229],-5.0154967],,
5463,3.602957],1.5596122],-0.554021],0.1235459],-4.845103],,
12483,3.6032019],1.5531741],-0.596858],0.08020462],-4.7564883],,
12387,3.6032858],1.8189927],-0.60826397],0.11241992],-4.4841094],,
480,3.603488],1.8106356],-0.549353],0.08218677],-3.6995358],,
4245,3.6035542],1.4604216],-0.5729234],0.09299774],-4.7451434],,
6474,3.6036146],1.8168329],-0.554713],0.09428366],-4.4615684],,
12915,3.603666],1.5837072],-0.58488166],0.12060846],-4.8895235],,
3786,3.6037643],1.5216271],-0.6261145],0.09222366],-4.679959],,
10776,3.6037943],1.6123996],-0.5482591],0.12237735],-4.680143],,
3219,3.6038082],1.513864],-0.60605407],0.09293284],-4.6691008],,
5586,3.6039264],1.5782473],-0.6075436],0.24432589],-4.9163685],,
8994,3.6039994],1.6623927],-0.5548912],0.12185098],-4.657931],,
3402,3.6040385],1.6587098],-0.5513723],0.1349525],-4.213142],,
4848,3.604048],1.5927188],-0.6252878],0.21000542],-4.7798076],,
10473,3.60412],1.5399154],-0.6114495],0.19253601],-5.0205216],,
1896,3.604229],1.481717],-0.59771264],0.15333988],-4.5328856],,
9474,3.6044047],1.5900984],-0.6163415],0.244805],-4.9132466],,
11091,3.6044648],1.8305408],-0.59951603],0.10774185],-4.488432],,
11235,3.6046636],1.6056428],-0.56724536],0.12241961],-4.691955],,
468,3.6050336],1.3400066],-0.5301875],0.05524649],-3.9012957],,
10311,3.6052263],1.6026615],-0.6128242],0.2449146],-4.991673],,
1542,3.605284],1.5876962],-0.5491663],0.11515798],-4.394716],,
8943,3.6053562],1.641132],-0.6308873],0.17068465],-4.8907676],,
3498,3.6054447],1.546805],-0.6141659],0.14019425],-4.6477637],,
12549,3.6054614],1.8100296],-0.60830694],0.11276455],-4.5050635],,
5922,3.6057515],1.628847],-0.5773102],0.12445153],-4.6568627],,
10815,3.6058266],1.6007149],-0.5724415],0.20452608],-5.006598],,
3012,3.6058836],1.5586878],-0.6218335],0.18705972],-4.574872],,
10320,3.6059182],1.587772],-0.6154561],0.1711048],-4.987453],,
4254,3.6059806],1.4916898],-0.58356667],0.12350215],-4.7205873],,
10296,3.6060286],1.5995263],-0.57899815],0.12534554],-4.7506804],,
540,3.6064749],1.6010375],-0.53716505],0.13254668],-3.9490209],,
3750,3.606497],1.5123246],-0.62419426],0.14986075],-4.726232],,
11130,3.606537],1.5776291],-0.64729637],0.17044075],-4.9540915],,
9228,3.6065707],1.8825496],-0.5804087],0.09466274],-4.4204087],,
2058,3.606622],1.5348698],-0.5997645],0.15607794],-4.519462],,
9582,3.6066797],1.5777733],-0.61034214],0.1795819],-5.0252976],,
5322,3.606717],1.6085614],-0.5558598],0.12241991],-4.724744],,
11460,3.6067245],1.7029688],-0.58456445],0.103727],-4.6100144],,
5379,3.6068895],1.5945718],-0.59999985],0.16583456],-4.8093185],,
8880,3.6069353],1.6410929],-0.61926526],0.24449833],-4.9446883],,
2028,3.607003],1.624436],-0.53714144],0.11536707],-4.394669],,
3564,3.607093],1.6246337],-0.548083],0.13503332],-4.315107],,
438,3.607106],1.3118104],-0.59073246],0.06552692],-4.010827],,
2067,3.6071827],1.5584728],-0.6095674],0.18651219],-4.559443],,
3078,3.607419],1.6593002],-0.5454699],0.13449593],-4.2802386],,
207,3.6074457],1.4056317],-0.5182134],0.09830399],-3.694767],,
6108,3.607497],1.6129843],-0.60140145],0.17021324],-4.7845473],,
1389,3.6081107],1.642358],-0.6059558],0.09955747],-3.906815],,
4899,3.6081123],1.795436],-0.5729538],0.06291778],-4.5963416],,
5190,3.6083186],1.5645562],-0.6202456],0.16596986],-4.7724233],,
9528,3.6083295],1.5422443],-0.61702746],0.24537052],-4.941713],,
6918,3.6084678],1.437267],-0.6216346],0.10579421],-5.018684],,
354,3.6085262],1.3738767],-0.50441206],0.0970806],-3.7801077],,
11679,3.6086195],1.587066],-0.64323115],0.21107496],-4.802523],,
5946,3.6086466],1.6054322],-0.61475706],0.17018582],-4.7804008],,
3021,3.6088617],1.535702],-0.6182519],0.21410163],-4.6875353],,
10848,3.6090024],1.8032817],-0.57822216],0.09523],-4.4598293],,
12438,3.6090868],1.5920758],-0.58659667],0.12414153],-4.7453704],,
6180,3.6092587],1.5850352],-0.6027397],0.24405666],-4.938061],,
11457,3.6093452],1.5822409],-0.5910862],0.12453599],-4.852634],,
6432,3.6094139],1.609414],-0.6014886],0.1701556],-4.8300977],,
4674,3.6094146],1.6350067],-0.5561006],0.1217816],-4.6815696],,
11886,3.6094155],1.53523],-0.6366304],0.11688097],-4.9768634],,
9273,3.609462],1.7763554],-0.575755],0.06344052],-4.5989113],,
4176,3.6095364],1.5289923],-0.5559523],0.11512871],-4.5118327],,
12918,3.609619],1.6835818],-0.58587265],0.11508776],-4.610402],,
1572,3.6096833],1.5261334],-0.61076397],0.15577377],-4.46298],,
12273,3.6097066],1.5474837],-0.58755356],0.14704444],-5.031102],,
10086,3.609864],1.5807222],-0.57231426],0.14584352],-5.01633],,
12525,3.6102555],1.5729107],-0.6260023],0.183378],-4.9988437],,
12741,3.6102865],1.5233177],-0.61226356],0.17980386],-5.0912547],,
5337,3.6103196],1.5995735],-0.5709473],0.11625721],-4.671847],,
3957,3.6103687],1.4822546],-0.6353921],0.13820042],-4.662343],,
5595,3.6106207],1.6070102],-0.63664716],0.17048217],-4.766104],,
4854,3.6108928],1.8512746],-0.5525898],0.09410967],-4.395488],,
1581,3.6109626],1.553513],-0.6193124],0.18620826],-4.506557],,
1077,3.6109762],1.4209441],-0.5976416],0.12534572],-4.4063063],,
4896,3.6110308],1.6671904],-0.5796827],0.12423892],-4.7091947],,
1410,3.611035],1.3959181],-0.5681797],0.08104999],-4.3610954],,
1395,3.6110537],1.5016731],-0.58145106],0.10614784],-4.0972123],,
1599,3.6110594],1.541709],-0.6167892],0.15571596],-4.4603815],,
12687,3.6113856],1.5150217],-0.6283984],0.21458162],-4.9870267],,
12516,3.611489],1.5875022],-0.63277733],0.14964916],-5.023938],,
1059,3.61152],1.4688588],-0.597579],0.0807295],-4.287644],,
12033,3.6116745],1.538472],-0.51954883],0.1164272],-4.897556],,
9837,3.6116824],1.5271184],-0.52057],0.06578864],-4.954667],,
5055,3.6117432],1.655558],-0.61896694],0.1700203],-4.7635927],,
4740,3.6119018],1.6143187],-0.6190278],0.21003468],-4.815865],,
9636,3.6119153],1.5485474],-0.6150781],0.24529023],-4.9303527],,
6357,3.6119637],1.7755996],-0.5604774],0.06306393],-4.5949206],,
3930,3.6120517],1.4841549],-0.6211587],0.12491848],-4.7010064],,
3507,3.6120965],1.4985874],-0.5989375],0.16724963],-4.7600546],,
3126,3.6122591],1.7887441],-0.57022214],0.08951081],-4.165775],,
10338,3.612281],1.612789],-0.61294985],0.24488081],-4.981144],,
11211,3.6123416],1.5438756],-0.622643],0.10511287],-4.965727],,
486,3.612345],1.6228036],-0.5354093],0.12633462],-3.838837],,
3729,3.612351],1.5487448],-0.56240886],0.11578055],-4.3974996],,
9270,3.6123524],1.6330627],-0.5823032],0.12473984],-4.807098],,
1488,3.6124604],1.6868166],-0.54985464],0.11537589],-4.3997927],,
414,3.6125116],1.3882366],-0.57375956],0.05819501],-3.7943358],,
1989,3.612537],1.5971978],-0.5386021],0.11714323],-4.369067],,
4524,3.6126838],1.6862758],-0.63017976],0.21012004],-4.779079],,
3450,3.612712],1.7719225],-0.5731219],0.0900227],-4.1531153],,
13083,3.6128657],1.5408757],-0.58180463],0.14574625],-5.028179],,
9222,3.6130962],1.6029826],-0.6294129],0.21084441],-4.9702806],,
12669,3.6132576],1.5370544],-0.6148414],0.10609581],-5.0001597],,
5640,3.6133602],1.5753285],-0.60372233],0.24440952],-4.916923],,
3921,3.6133764],1.4701364],-0.6081272],0.09441216],-4.6881104],,
1653,3.6134102],1.6147872],-0.61215985],0.15584196],-4.4598336],,
4650,3.6136725],1.5699805],-0.6133876],0.16994537],-4.748153],,
1668,3.6136777],1.7987732],-0.549749],0.08897896],-4.1469083],,
3768,3.613756],1.5332819],-0.6311555],0.12280978],-4.715345],,
3759,3.6138272],1.5020305],-0.6200037],0.09230508],-4.6959395],,
1620,3.6138911],1.67866],-0.53444695],0.13395841],-4.256884],,
10929,3.6139128],1.8338464],-0.601438],0.10768111],-4.4143596],,
11877,3.6139348],1.5276616],-0.62874365],0.24451025],-4.9881682],,
9048,3.6139686],1.6450142],-0.5597712],0.12242009],-4.685059],,
5109,3.614351],1.5713178],-0.64193916],0.17031278],-4.7586026],,
1992,3.6144183],1.7964339],-0.54744667],0.08923842],-4.148172],,
690,3.6145384],1.4824826],-0.60207313],0.16548295],-4.211288],,
6117,3.6146576],1.6267949],-0.60487205],0.21030362],-4.828257],,
3840,3.614729],1.5267869],-0.61709666],0.10789187],-4.6936293],,
5472,3.6148183],1.5919536],-0.5384433],0.12432881],-4.7995],,
5964,3.6148298],1.6370528],-0.612954],0.24396159],-4.9201636],,
11085,3.6148536],1.579647],-0.64465964],0.20599039],-4.9776926],,
6441,3.6150334],1.6343871],-0.6063083],0.21024425],-4.8650804],,
6402,3.6151145],1.6585137],-0.5394726],0.12152238],-4.67282],,
4515,3.615185],1.6934437],-0.62747395],0.17000385],-4.755426],,
1944,3.615282],1.6811944],-0.5327363],0.13417478],-4.2230372],,
1761,3.615339],1.4969693],-0.6043539],0.15391745],-4.4795003],,
429,3.6154294],1.3159697],-0.61201584],0.10455467],-4.0104747],,
417,3.6155612],1.6066267],-0.5912976],0.08349122],-3.5348103],,
11193,3.6156876],1.595452],-0.63533187],0.21097447],-4.860582],,
11229,3.6156929],1.5288602],-0.62712044],0.21352233],-4.965141],,
2553,3.6157167],1.4776343],-0.5319343],0.12605317],-4.741634],,
1440,3.6157413],1.4223977],-0.5244137],0.06078745],-4.261179],,
11355,3.616155],1.6280102],-0.6343567],0.19761457],-4.9211063],,
1743,3.6163056],1.496648],-0.6111576],0.18382044],-4.52429],,
10251,3.6163146],1.6334037],-0.5660574],0.12405367],-4.7403455],,
3612,3.616461],1.7185289],-0.5692971],0.09008916],-4.197284],,
10329,3.6164868],1.6186458],-0.61940616],0.21119364],-5.0129414],,
2946,3.616499],1.6298243],-0.55150545],0.11590691],-4.410164],,
3057,3.616615],1.54774],-0.62129],0.15655126],-4.667471],,
1227,3.616663],1.6677703],-0.60750204],0.09470679],-3.8870726],,
11616,3.6166813],1.5617241],-0.63182855],0.16900255],-5.003511],,
3597,3.6170344],1.5048441],-0.564947],0.15216543],-4.6738954],,
3447,3.6171534],1.573572],-0.5377469],0.11807741],-4.5117173],,
5268,3.617299],1.6462396],-0.56409895],0.12186815],-4.6630893],,
10887,3.617344],1.5585638],-0.56752574],0.17097922],-4.982352],,
348,3.6173527],1.3644108],-0.59878486],0.10312118],-4.0030923],,
10500,3.6173835],1.5494721],-0.61039907],0.23748757],-4.987604],,
4794,3.617392],1.6493742],-0.6174333],0.21001942],-4.7722383],,
3849,3.6173956],1.5464053],-0.6271527],0.138397],-4.719582],,
10077,3.6176455],1.5442016],-0.5636064],0.10575522],-4.995416],,
5955,3.6176958],1.6348947],-0.6194098],0.21027459],-4.8205943],,
5712,3.6177537],1.5685622],-0.61049014],0.20620354],-4.8818326],,
9024,3.61776],1.5743861],-0.6172423],0.17078532],-4.9315715],,
5649,3.6177635],1.6055454],-0.61742365],0.17076553],-4.7766423],,
4668,3.617826],1.5515814],-0.6149875],0.24373795],-4.910937],,
3486,3.61783],1.5463363],-0.54918325],0.11602904],-4.400949],,
4458,3.6178427],1.7774855],-0.5583441],0.12142463],-4.668842],,
5877,3.6178768],1.6508042],-0.5613016],0.12327136],-4.646031],,
51,3.6179602],1.3306732],-0.58942074],0.13785364],-3.2735138],,
510,3.6180975],1.4250197],-0.6122085],0.18629785],-4.2528358],,
6354,3.61819],1.6561731],-0.5674511],0.1244138],-4.726223],,
402,3.6182325],1.3704128],-0.62914515],0.15001734],-3.8611321],,
12588,3.6183653],1.5823971],-0.62904644],0.16933908],-4.9688883],,
10731,3.6184223],1.7308766],-0.5682373],0.0639459],-4.6115804],,
198,3.6184485],1.3824036],-0.55097485],0.09981377],-3.7455359],,
4659,3.6185644],1.58049],-0.616905],0.21003588],-4.798054],,
72,3.6186862],1.3925163],-0.49273804],0.1212305],-3.1450129],,
4578,3.6188347],1.7055736],-0.6264267],0.21019526],-4.798983],,
12264,3.6188576],1.5169473],-0.57885706],0.10688587],-5.0553727],,
5100,3.618986],1.5760831],-0.6068913],0.24429609],-4.914705],,
9390,3.6190708],1.8986818],-0.5771704],0.09464826],-4.452512],,
3201,3.6192563],1.5186268],-0.6128583],0.12339957],-4.694713],,
2910,3.6193159],1.8909988],-0.5806901],0.08962239],-4.030787],,
5016,3.6194298],1.8870434],-0.5513462],0.0941148],-4.4383717],,
3111,3.6194367],1.5637015],-0.6148805],0.1564553],-4.670199],,
5757,3.6196501],1.5745342],-0.6243822],0.16833402],-4.784684],,
12975,3.6199524],1.5858926],-0.6322458],0.14562781],-4.97404],,
4347,3.6199608],1.5673077],-0.5585135],0.11747749],-4.498676],,
4407,3.620023],1.6585417],-0.63976467],0.17007907],-4.7510448],,
10728,3.6200485],1.6159166],-0.5732624],0.1254095],-4.888985],,
11184,3.620145],1.5696145],-0.642258],0.10656424],-4.8651767],,
6135,3.6202424],1.6283635],-0.6036344],0.1701556],-4.7817726],,
3675,3.62046],1.5591519],-0.5613513],0.11553051],-4.4296813],,
627,3.6204956],1.440741],-0.5972609],0.14048828],-4.1805043],,
5988,3.6205332],1.9094316],-0.55112755],0.09433277],-4.4286675],,
3000,3.6205566],1.5949974],-0.55184186],0.11579366],-4.394049],,
1491,3.620598],1.611575],-0.61328363],0.15588893],-4.4492245],,
11832,3.6206162],1.5457534],-0.6533171],0.14634432],-4.8668056],,
1734,3.6207066],1.4819821],-0.6008144],0.15338446],-4.4865413],,
10554,3.620756],1.5553515],-0.60160905],0.19253035],-5.082583],,
3192,3.6207755],1.506187],-0.601643],0.09296353],-4.6803813],,
9537,3.6208363],1.589008],-0.6334167],0.17153557],-4.8881865],,
1233,3.6208546],1.508942],-0.5858171],0.10321309],-4.0710454],,
1224,3.6209414],1.4712881],-0.5835568],0.11065461],-4.152373],,
3030,3.6210296],1.5286728],-0.614838],0.15662827],-4.6785274],,
12879,3.6210382],1.6703207],-0.5757023],0.12343527],-4.645312],,
1482,3.621135],1.5841694],-0.61792904],0.2133676],-4.6032157],,
